stride␣,␣sum,␣time␣(msec),␣rate␣(MB/s)
1,␣1000000.000000,␣2.761000,␣2763.272195
2,␣1000000.000000,␣3.000000,␣2543.131510
3,␣1000000.000000,␣3.817000,␣1998.793432
4,␣1000000.000000,␣3.771000,␣2023.175426
5,␣1000000.000000,␣4.062000,␣1878.235975
6,␣1000000.000000,␣3.787000,␣2014.627550
7,␣1000000.000000,␣4.133000,␣1845.970126
8,␣1000000.000000,␣4.382000,␣1741.075886
9,␣1000000.000000,␣4.993000,␣1528.018132
10,␣1000000.000000,␣5.278000,␣1445.508627
11,␣1000000.000000,␣6.004000,␣1270.718609
12,␣1000000.000000,␣6.335000,␣1204.324314
13,␣1000000.000000,␣6.723000,␣1134.819951
14,␣1000000.000000,␣7.478000,␣1020.245324
15,␣1000000.000000,␣7.501000,␣1017.116989
16,␣1000000.000000,␣8.463000,␣901.500004
17,␣1000000.000000,␣8.943000,␣853.113556
18,␣1000000.000000,␣9.964000,␣765.695959
19,␣1000000.000000,␣9.807000,␣777.953965
20,␣1000000.000000,␣10.210000,␣747.247261
